Word,Length,SUBTLCD,Pron
kidnapping,10,4.05,"k""Id.n%ap.IN"
Japan,5,4.05,"dZ@.p""an"
diamonds,8,4.05,"d""aI.m@ndz"
bunny,5,4.05,"b""V.ni"
bore,4,4.05,"b""Or"
banging,7,4.05,"b""aN.IN"
arriving,8,4.05,"@`.r""aIv.IN"
values,6,4.04,"v""a.ljuz"
twin,4,4.04,"tw""In"
lad,3,4.04,"l""ad"
chart,5,4.04,"tS""Art"
bears,5,4.04,"b""Erz"
tits,4,4.03,"t""Its"
subway,6,4.03,"s""Vb.we"
photographs,11,4.03,"f""o.4@.grafs"
nickel,6,4.03,"n""I.kl="
gratitude,9,4.03,"gr""a.4@.tud"
goat,4,4.03,"g""ot"
danced,6,4.03,"d""anst"
connections,11,4.03,"k@.n""Ek.Sn=z"
communicate,11,4.03,"k@.mj""u.n@.ket"
boats,5,4.03,"b""ots"
perspective,11,4.02,"p@`.sp""Ek.tIv"
pace,4,4.02,"p""es"
occur,5,4.02,"@.k""3`"
madness,7,4.02,"m""ad.n@s"
drain,5,4.02,"dr""en"
discovery,9,4.02,"dI.sk""V.v@`.i"
cooperation,11,4.02,"ko.%A.p@`.r""e.Sn="
conflict,8,4.02,"k""An.flIkt"
Arthur,6,4.02,"""Ar.T@`"
tattoo,6,4.01,"ta.t""u"
sweating,8,4.01,"sw""E4.IN"
spite,5,4.01,"sp""aIt"
reference,9,4.01,"r""E.f@`.@ns"
prior,5,4.01,"pr""aI@`"
porch,5,4.01,"p""OrtS"
mere,4,4.01,"m""Ir"
glove,5,4.01,"gl""Vv"
forehead,8,4.01,"f""Or.hEd"
efforts,7,4.01,"""E.f@`ts"
disgrace,8,4.01,"dIs.gr""es"
Catholic,8,4.01,"k""aT.lIk"
bonus,5,4.01,"b""o.n@s"
anyways,7,4.01,"""E.ni.w%ez"
symbol,6,3.99,"s""Im.bl="
stall,5,3.99,"st""Ol"
stabbed,7,3.99,"st""abd"
legally,7,3.99,"l""i.g@l.i"
horror,6,3.99,"h""O.r@`"
ham,3,3.99,"h""am"
discipline,10,3.99,"d""I.s@.plIn"
corporate,9,3.99,"k""Or.p@`.r@t"
circles,7,3.99,"s""3`.kl=z"
buttons,7,3.99,"b""V.tn=z"
towels,6,3.98,"t""aU@lz"
strings,7,3.98,"str""INz"
recorded,8,3.98,"rI.k""Or4.@d"
mankind,7,3.98,"m%an.k""aInd"
importance,10,3.98,"Im.p""Or.tn=s"
hail,4,3.98,"h""el"
dummy,5,3.98,"d""Vm.i"
cough,5,3.98,"k""Of"
computers,9,3.98,"k@m.pj""u4.@`z"
bald,4,3.98,"b""Old"
affection,9,3.98,"@.f""Ek.Sn="
vodka,5,3.97,"v""Ad.k@"
shirts,6,3.97,"S""3`ts"
rhythm,6,3.97,"r""I.D@m"
risky,5,3.97,"r""Isk.i"
refer,5,3.97,"r@.f""3`"
pale,4,3.97,"p""el"
occasionally,12,3.97,"@.k""e.Zn=.@l.i"
defending,9,3.97,"dI.f""En4.IN"
attacking,9,3.97,"@.t""ak.IN"
approval,8,3.97,"@.pr""uv.l="
Amy,3,3.97,"""e.mi"
ruining,7,3.96,"r""u@n.IN"
graduated,9,3.96,"gr""a.dZu.%e4.@d"
Greek,5,3.96,"gr""ik"
duties,6,3.96,"d""u.4iz"
capacity,8,3.96,"k@.p""a.s@.4i"
switched,8,3.95,"sw""ItSt"
sandwiches,10,3.95,"s""an.wIdZ.@z"
react,5,3.95,"ri.""akt"
oven,4,3.95,"""V.vn="
mature,6,3.95,"m@.tS""Ur"
lipstick,8,3.95,"l""Ip.st%Ik"
curtain,7,3.95,"k""3`.tn="
convention,10,3.95,"k@n.v""En.Sn="
undercover,10,3.93,"%Vn.4@`.k""V.v@`"
editor,6,3.93,"""E.4@4.@`"
dive,4,3.93,"d""aIv"
continued,9,3.93,"k@n.t""I.njud"
backed,6,3.93,"b""akt"
wired,5,3.92,"w""aIrd"
throws,6,3.92,"Tr""oz"
sins,4,3.92,"s""Inz"
homeless,8,3.92,"h""om.l@s"
fry,3,3.92,"fr""aI"
favors,6,3.92,"f""e.v@`z"
dame,4,3.92,"d""em"
watches,7,3.91,"w""AtS.@z"
triple,6,3.91,"tr""I.pl="
shiny,5,3.91,"S""aIn.i"
rely,4,3.91,"rI.l""aI"
lion,4,3.91,"l""aI@n"
largest,7,3.91,"l""ArdZ.Ist"
inviting,8,3.91,"In.v""aI4.IN"
actors,6,3.9,"""akt.@`z"
tops,4,3.9,"t""Aps"
thieves,7,3.9,"T""ivz"
skill,5,3.9,"sk""Il"
Sally,5,3.9,"s""a.li"
remembers,9,3.9,"rI.m""Em.b@`z"
posted,6,3.9,"p""ost.@d"
pad,3,3.9,"p""ad"
offended,8,3.9,"@.f""En4.@d"
hooker,6,3.9,"h""Uk.@`"
distracted,10,3.9,"dI.str""akt.@d"
arts,4,3.9,"""Arts"
ally,4,3.9,"""a.laI"
Almighty,8,3.9,"Ol.m""aI.4i"
storage,7,3.89,"st""Or.IdZ"
retirement,10,3.89,"rI.t""aIr.m@nt"
monsters,8,3.89,"m""An.st@`z"
expense,7,3.89,"Ik.sp""Ens"
explaining,10,3.89,"Ik.spl""en.IN"
engineer,8,3.89,"%En.dZ@n.""Ir"
envelope,8,3.89,"""En.v@.lop"
buys,4,3.89,"b""aIz"
begged,6,3.89,"b""Egd"
wandering,9,3.87,"w""An.4@`.IN"
versus,6,3.87,"v""3`.s@s"
sources,7,3.87,"s""Ors.@z"
rank,4,3.87,"r""aNk"
polish,6,3.87,"p""A.lIS"
nailed,6,3.87,"n""eld"
follows,7,3.87,"f""A.loz"
fame,4,3.87,"f""em"
completed,9,3.87,"k@m.pl""i4.@d"
cart,4,3.87,"k""Art"
casino,6,3.87,"k@.s""i.no"
businessman,11,3.87,"b""Iz.nIs.m@n"
bothers,7,3.87,"b""A.D@`z"
banana,6,3.87,"b@.n""a.n@"
technical,9,3.86,"t""Ek.nI.k@l"
relative,8,3.86,"r""E.l@4.Iv"
proposal,8,3.86,"pr@.p""oz.l="
primary,7,3.86,"pr""aIm.@`.ri"
pistol,6,3.86,"p""I.stl="
philosophy,10,3.86,"f@.l""A.s@.fi"
ordering,8,3.86,"""Or.4@`.IN"
fuss,4,3.86,"f""Vs"
Elizabeth,9,3.86,"I.l""I.z@.b@T"
currently,9,3.86,"k""3`.r@nt.li"
Broadway,8,3.86,"br""Od.we"
breeze,6,3.86,"br""iz"
acid,4,3.85,"""a.s@d"
verdict,7,3.85,"v""3`.4Ikt"
revolution,10,3.85,"r%E.v@.l""u.Sn="
receiving,9,3.85,"r@.s""iv.IN"
gesture,7,3.85,"dZ""Es.tS@`"
flame,5,3.85,"fl""em"
claimed,7,3.85,"kl""emd"
bra,3,3.85,"br""A"
bold,4,3.85,"b""old"
attempted,9,3.85,"@.t""Empt.@d"
anonymous,9,3.85,"@.n""A.n@.m@s"
aggressive,10,3.85,"@.gr""Es.Iv"
signals,7,3.84,"s""Ig.nl=z"
phony,5,3.84,"f""o.ni"
October,7,3.84,"Ak.t""o.b@`"
lamb,4,3.84,"l""am"
harbor,6,3.84,"h""Ar.b@`"
embrace,7,3.84,"Im.br""es"
comedy,6,3.84,"k""A.m@.4i"
chef,4,3.84,"S""Ef"
amongst,7,3.84,"@.m""VNst"
ace,3,3.83,"""es"
trucks,6,3.83,"tr""Vks"
sucking,7,3.83,"s""Vk.IN"
sickness,8,3.83,"s""Ik.n@s"
sexually,8,3.83,"s""Ek.Su@l.i"
prom,4,3.83,"pr""Am"
performed,9,3.83,"p@`.f""Ormd"
eastern,7,3.83,"""ist.@`n"
diner,5,3.83,"d""aIn.@`"
coroner,7,3.83,"k""O.r@.n@`"
cheering,8,3.83,"tS""Ir.IN"
caring,6,3.83,"k""Er.IN"
approximately,13,3.83,"@.pr""Ak.s@.m@t.li"
Alice,5,3.83,"""a.l@s"
ton,3,3.81,"t""Vn"
tossed,6,3.81,"t""Ost"
tires,5,3.81,"t""aIrz"
stab,4,3.81,"st""ab"
searched,8,3.81,"s""3`tSt"
rack,4,3.81,"r""ak"
plants,6,3.81,"pl""ants"
mutual,6,3.81,"mj""u.tSu@l"
inspired,8,3.81,"In.sp""aIrd"
instinct,8,3.81,"""In.stINkt"
haircut,7,3.81,"h""Er.k%Vt"
fold,4,3.81,"f""old"
declare,7,3.81,"dI.kl""Er"
Brooklyn,8,3.81,"br""Uk.lIn"
blues,5,3.81,"bl""uz"
Barbara,7,3.81,"b""Ar.b@`.r@"
weekends,8,3.8,"w""ik.Endz"
terror,6,3.8,"t""E.r@`"
pacific,7,3.8,"p@.s""I.fIk"
hostile,7,3.8,"h""A.stl="
fluid,5,3.8,"fl""u.Id"
farmer,6,3.8,"f""Arm.@`"
document,8,3.8,"d""A.kj@.m@nt"
creating,8,3.8,"kri.""e4.IN"
content,7,3.8,"k""An.tEnt"
civilian,8,3.8,"s@.v""Il.j@n"
bizarre,7,3.8,"bI.z""Ar"
bartender,9,3.8,"b""Ar.t%En4.@`"
alien,5,3.8,"""e.li@n"
wealthy,7,3.79,"w""ElT.i"
strict,6,3.79,"str""Ikt"
spiritual,9,3.79,"sp""I.rI.tSu@l"
observation,11,3.79,"%Ab.z@`v.""e.Sn="
crane,5,3.79,"kr""en"
achieve,7,3.78,"@.tS""iv"
statue,6,3.78,"st""a.tSu"
situations,10,3.78,"s%I.tSu.""e.Sn=z"
Rome,4,3.78,"r""om"
referring,9,3.78,"r@.f""3`.IN"
November,8,3.78,"no.v""Em.b@`"
institution,11,3.78,"%In.stI.t""u.Sn="
gin,3,3.78,"dZ""In"
freaks,6,3.78,"fr""iks"
exclusive,9,3.78,"Ik.skl""us.Iv"
dip,3,3.78,"d""Ip"
tricky,6,3.77,"tr""Ik.i"
resting,7,3.77,"r""Est.IN"
regard,6,3.77,"r@.g""Ard"
ranch,5,3.77,"r""antS"
principle,9,3.77,"pr""In.s@.pl="
pork,4,3.77,"p""Ork"
Lewis,5,3.77,"l""u.Is"
fork,4,3.77,"f""Ork"
expenses,8,3.77,"Ik.sp""Ens.@z"
defendant,9,3.77,"dI.f""En4.@nt"
contacted,9,3.77,"k""An.takt.@d"
climbing,8,3.77,"kl""aIm.IN"
breast,6,3.77,"br""Est"
stepping,8,3.76,"st""Ep.IN"
smash,5,3.76,"sm""aS"
rarely,6,3.76,"r""Er.li"
outer,5,3.76,"""aU4.@`"
limits,6,3.76,"l""I.m@ts"
horny,5,3.76,"h""Orn.i"
gathering,9,3.76,"g""a.D@`.IN"
doomed,6,3.76,"d""umd"
warehouse,9,3.74,"w""Er.h%aUs"
refrigerator,12,3.74,"rI.fr""I.dZ@`.r%e4.@`"
quicker,7,3.74,"kw""Ik.@`"
poem,4,3.74,"p""o@m"
husbands,8,3.74,"h""Vz.b@ndz"
harsh,5,3.74,"h""ArS"
electrical,10,3.74,"I.l""Ek.trIk.l="
elephant,8,3.74,"""E.l@.f@nt"
dreadful,8,3.74,"dr""Ed.fl="
convincing,10,3.74,"k@n.v""Ins.IN"
confusion,9,3.74,"k@n.fj""u.Zn="
annual,6,3.74,"""a.nju@l"
Wilson,6,3.73,"w""Il.sn="
visited,7,3.73,"v""I.z@4.@d"
terrorist,9,3.73,"t""E.r@`.Ist"
standards,9,3.73,"st""an.4@`dz"
slightest,9,3.73,"sl""aI4.Ist"
ladder,6,3.73,"l""a.4@`"
instrument,10,3.73,"""In.str@.m@nt"
cock,4,3.73,"k""Ak"
abandon,7,3.72,"@.b""an.4@n"
tolerate,8,3.72,"t""A.l@`.ret"
mum,3,3.72,"m""Vm"
documents,9,3.72,"d""A.kj@.m@nts"
cabinet,7,3.72,"k""a.b@.n@t"
brutal,6,3.72,"br""u4.l="
traitor,7,3.71,"tr""e.4@`"
samples,7,3.71,"s""am.pl=z"
perimeter,9,3.71,"p@`.r""I.m@.4@`"
owed,4,3.71,"""od"
Jake,4,3.71,"dZ""ek"
involve,7,3.71,"In.v""Alv"
instincts,9,3.71,"""In.stINkts"
duke,4,3.71,"d""uk"
deaths,6,3.71,"d""ETs"
blaming,7,3.71,"bl""em.IN"
belief,6,3.71,"b@.l""if"
Tim,3,3.7,"t""Im"
sings,5,3.7,"s""INz"
sang,4,3.7,"s""aN"
Ross,4,3.7,"r""As"
proposition,11,3.7,"pr%A.p@z.""I.Sn="
proven,6,3.7,"pr""uv.n="
misses,6,3.7,"m""Is.@z"
majesty,7,3.7,"m""a.dZ@.sti"
Lucy,4,3.7,"l""u.si"
hardest,7,3.7,"h""Ar4.Ist"
gunshot,7,3.7,"g""Vn.S%At"
Germany,7,3.7,"dZ""3`.m@.ni"
fatal,5,3.7,"f""e4.l="
ego,3,3.7,"""i.go"
consideration,13,3.7,"k@n.s%I.4@`.""e.Sn="
sighs,5,3.68,"s""aIz"
rides,5,3.68,"r""aIdz"
psychic,7,3.68,"s""aI.kIk"
popcorn,7,3.68,"p""Ap.k%Orn"
muscles,7,3.68,"m""V.sl=z"
narrow,6,3.68,"n""a.ro"
maximum,7,3.68,"m""ak.s@.m@m"
leaders,7,3.68,"l""i4.@`z"
ideal,5,3.68,"aI.d""i@l"
farewell,8,3.68,"fEr.w""El"
contacts,8,3.68,"k""An.takts"
congratulate,12,3.68,"k@N.gr""a.tSu.let"
association,11,3.68,"@.s%o.si.""e.Sn="
wakes,5,3.67,"w""eks"
touches,7,3.67,"t""VtS.@z"
suspicion,9,3.67,"s@.sp""I.Sn="
notify,6,3.67,"n""o4.@.faI"
oath,4,3.67,"""oT"
logical,7,3.67,"l""A.dZIk.l="
kisses,6,3.67,"k""Is.@z"
jammed,6,3.67,"dZ""amd"
float,5,3.67,"fl""ot"
ditch,5,3.67,"d""ItS"
disagree,8,3.67,"d%Is.@.gr""i"
counselor,9,3.67,"k""aUn.sl=.@`"
catches,7,3.67,"k""atS.@z"
Alan,4,3.67,"""a.l@n"
urge,4,3.66,"""3`dZ"
therapist,9,3.66,"T""E.r@.pIst"
scandal,7,3.66,"sk""an.4l="
scar,4,3.66,"sk""Ar"
peg,3,3.66,"p""Eg"
penalty,7,3.66,"p""E.nl=.ti"
Korea,5,3.66,"k@`.r""i@"
eager,5,3.66,"""i.g@`"
dock,4,3.66,"d""Ak"
demons,6,3.66,"d""i.m@nz"
audition,8,3.66,"O.d""I.Sn="
tortured,8,3.65,"t""Or.tS@`d"
scan,4,3.65,"sk""an"
raped,5,3.65,"r""ept"
native,6,3.65,"n""e.4Iv"
Jason,5,3.65,"dZ""e.sn="
grades,6,3.65,"gr""edz"
expose,6,3.65,"Ik.sp""oz"
convicted,9,3.65,"k@n.v""Ikt.@d"
allergic,8,3.65,"@.l""3`.dZIk"
senator,7,3.64,"s""E.n@4.@`"
savings,7,3.64,"s""ev.INz"
protest,7,3.64,"pr""o.tEst"
prices,6,3.64,"pr""aIs.@z"
jazz,4,3.64,"dZ""az"
illusion,8,3.64,"I.l""u.Zn="
complaints,10,3.64,"k@m.pl""ents"
compete,7,3.64,"k@m.p""it"
burger,6,3.64,"b""3`.g@`"
betting,7,3.64,"b""E4.IN"
ashes,5,3.64,"""aS.@z"
ye,2,3.62,"j""i"
trips,5,3.62,"tr""Ips"
sophisticated,13,3.62,"s@.f""I.st@.k%e4.@d"
satisfaction,12,3.62,"s%a.4@s.f""ak.Sn="
reverend,8,3.62,"r""E.v@`.r@nd"
pearl,5,3.62,"p""3`l"
nowadays,8,3.62,"n""aU@.d%ez"
legitimate,10,3.62,"l@.dZ""I.4@.m@t"
hysterical,10,3.62,"hI.st""E.rIk.l="
depression,10,3.62,"dI.pr""E.Sn="
chickens,8,3.62,"tS""I.k@nz"
affected,8,3.62,"@.f""Ekt.@d"
helmet,6,3.61,"h""El.m@t"
dragging,8,3.61,"dr""ag.IN"
couples,7,3.61,"k""V.pl=z"
Betty,5,3.61,"b""E.4i"
subtle,6,3.6,"s""V.4l="
sock,4,3.6,"s""Ak"
ribs,4,3.6,"r""Ibz"
humiliated,10,3.6,"hju.m""I.li.%e4.@d"
ghosts,6,3.6,"g""osts"
emotionally,11,3.6,"I.m""o.Sn=.@l.i"
controls,8,3.6,"k@n.tr""olz"
comic,5,3.6,"k""A.mIk"
centuries,9,3.6,"s""En.tS@`.riz"
boo,3,3.6,"b""u"
swallowed,9,3.59,"sw""A.lod"
smashed,7,3.59,"sm""aSt"
lifted,6,3.59,"l""Ift.@d"
identification,14,3.59,"aI.d%En.4@.f@.k""e.Sn="
eternity,8,3.59,"I.t""3`.n@.4i"
blocked,7,3.59,"bl""Akt"
bent,4,3.59,"b""Ent"
bachelor,8,3.59,"b""a.tS@.l@`"
whisper,7,3.58,"hw""I.sp@`"
Tokyo,5,3.58,"t""o.ki.o"
strongly,8,3.58,"str""ON.li"
sells,5,3.58,"s""Elz"
racket,6,3.58,"r""a.kIt"
pa,2,3.58,"p""A"
mortal,6,3.58,"m""Or.4l="
messy,5,3.58,"m""Es.i"
method,6,3.58,"m""E.T@d"
floors,6,3.58,"fl""Orz"
draft,5,3.58,"dr""aft"
bearing,7,3.58,"b""Er.IN"
respected,9,3.56,"rI.sp""Ekt.@d"
responsibilities,16,3.56,"rI.sp%An.s@.b""Il.@.4iz"
pierce,6,3.56,"p""Irs"
originally,10,3.56,"@`.r""I.dZ@n.l=.i"
manual,6,3.56,"m""a.nju@l"
household,9,3.56,"h""aUs.h%old"
haul,4,3.56,"h""Ol"
goodnight,9,3.56,"g%Ud.n""aIt"
gamble,6,3.56,"g""am.bl="
forgiveness,11,3.56,"f@`.g""Iv.n@s"
extend,6,3.56,"Ik.st""End"
compliments,11,3.56,"k""Am.pl@.m@nts"
column,6,3.56,"k""A.l@m"
chemistry,9,3.56,"k""E.m@.stri"
worlds,6,3.55,"w""3`ldz"
winds,5,3.55,"w""aIndz"
promising,9,3.55,"pr""A.m@s.IN"
hollow,6,3.55,"h""A.lo"
honesty,7,3.55,"""A.n@st.i"
domestic,8,3.55,"d@.m""E.stIk"
collecting,10,3.55,"k@.l""Ekt.IN"
cease,5,3.55,"s""is"
violation,9,3.54,"vaI@.l""e.Sn="
serves,6,3.54,"s""3`vz"
peculiar,8,3.54,"pI.kj""u.lj@`"
novel,5,3.54,"n""A.vl="
mistress,8,3.54,"m""I.str@s"
jar,3,3.54,"dZ""Ar"
intimate,8,3.54,"""In.4@.m@t"
intentions,10,3.54,"In.t""En.Sn=z"
controlled,10,3.54,"k@n.tr""old"
chopper,7,3.54,"tS""Ap.@`"
certificate,11,3.54,"s@`.t""I.fI.k@t"
Carter,6,3.54,"k""Ar.4@`"
scheme,6,3.53,"sk""im"
scientists,10,3.53,"s""aI@n.4Ists"
medal,5,3.53,"m""E.4l="
liable,6,3.53,"l""aI@.bl="
infection,9,3.53,"In.f""Ek.Sn="
retreat,7,3.52,"rI.tr""it"
prep,4,3.52,"pr""Ep"
Martha,6,3.52,"m""Ar.T@"
hose,4,3.52,"h""oz"
guaranteed,10,3.52,"g%a.r@n.t""id"
dice,4,3.52,"d""aIs"
carries,7,3.52,"k""a.riz"
worship,7,3.51,"w""3`.SIp"
stream,6,3.51,"str""im"
reckon,6,3.51,"r""E.k@n"
possibilities,13,3.51,"p%A.s@.b""Il.@.4iz"
luckily,7,3.51,"l""Vk.@.li"
lasted,6,3.51,"l""ast.@d"
faced,5,3.51,"f""est"
dentist,7,3.51,"d""En.4Ist"
adore,5,3.51,"@.d""Or"
whack,5,3.49,"hw""ak"
volume,6,3.49,"v""A.ljum"
spreading,9,3.49,"spr""E4.IN"
sailing,7,3.49,"s""el.IN"
railroad,8,3.49,"r""el.r%od"
racing,6,3.49,"r""es.IN"
outstanding,11,3.49,"%aUt.st""an4.IN"
fist,4,3.49,"f""Ist"
cue,3,3.49,"kj""u"
cans,4,3.49,"k""anz"
beautifully,11,3.49,"bj""u.4@.fl=.i"
aspirin,7,3.49,"""a.sprIn"
tearing,7,3.48,"t""Er.IN"
supreme,7,3.48,"su.pr""im"
scores,6,3.48,"sk""Orz"
pronounce,9,3.48,"pr@.n""aUns"
pickup,6,3.48,"p""Ik.%Vp"
notion,6,3.48,"n""o.Sn="
lined,5,3.48,"l""aInd"
hunch,5,3.48,"h""VntS"
flames,6,3.48,"fl""emz"
Canada,6,3.48,"k""a.n@.4@"
bubble,6,3.48,"b""V.bl="
trailer,7,3.47,"tr""el.@`"
theft,5,3.47,"T""Eft"
sunny,5,3.47,"s""Vn.i"
strain,6,3.47,"str""en"
stunt,5,3.47,"st""Vnt"
soil,4,3.47,"s""OIl"
sixteen,7,3.47,"sIk.st""in"
reporters,9,3.47,"rI.p""Or4.@`z"
rash,4,3.47,"r""aS"
passage,7,3.47,"p""as.@dZ"
injuries,8,3.47,"""In.dZ@`.iz"
declared,8,3.47,"dI.kl""Erd"
clearing,8,3.47,"kl""Ir.IN"
closes,6,3.47,"kl""os.@z"
civilization,12,3.47,"s%I.vl=.@z.""e.Sn="
Carl,4,3.47,"k""Arl"
butcher,7,3.47,"b""U.tS@`"
candle,6,3.47,"k""an.4l="
autopsy,7,3.47,"""O.tAp.si"
avoiding,8,3.47,"@.v""OI4.IN"
Virginia,8,3.46,"v@`.dZ""I.nj@"
spinning,8,3.46,"sp""In.IN"
solo,4,3.46,"s""o.lo"
relaxed,7,3.46,"rI.l""akst"
parole,6,3.46,"p@`.r""ol"
Mickey,6,3.46,"m""I.ki"
liking,6,3.46,"l""aIk.IN"
inspector,9,3.46,"In.sp""Ekt.@`"
habits,6,3.46,"h""a.b@ts"
endless,7,3.46,"""End.l@s"
disguise,8,3.46,"dIs.g""aIz"
counted,7,3.46,"k""aUn4.@d"
broadcast,9,3.46,"br""Od.k%ast"
breakdown,9,3.46,"br""ek.d%aUn"
sensible,8,3.45,"s""Ens.@.bl="
Shakespeare,11,3.45,"S""ek.spIr"
porn,4,3.45,"p""Orn"
Leo,3,3.45,"l""i.o"
Jackie,6,3.45,"dZ""a.ki"
inspiration,11,3.45,"%In.sp@`.""e.Sn="
happiest,8,3.45,"h""a.pi.Ist"
auto,4,3.45,"""O.4o"
web,3,3.43,"w""Eb"
traveled,8,3.43,"tr""a.vl=d"
troubled,8,3.43,"tr""V.bl=d"
teenager,8,3.43,"t""in.%edZ.@`"
rocket,6,3.43,"r""A.k@t"
photographer,12,3.43,"f@.t""A.gr@.f@`"
persons,7,3.43,"p""3`.sn=z"
objects,7,3.43,"""Ab.dZIkts"
kings,5,3.43,"k""INz"
hangs,5,3.43,"h""aNz"
hack,4,3.43,"h""ak"
sentimental,11,3.42,"s%En.4@.m""En4.l="
respects,8,3.42,"rI.sp""Ekts"
remaining,9,3.42,"rI.m""en.IN"
pursue,6,3.42,"p@`.s""u"
noises,6,3.42,"n""OIz.@z"
insanity,8,3.42,"In.s""an.@.4i"
holidays,8,3.42,"h""A.l@.d%ez"
core,4,3.42,"k""Or"
coin,4,3.42,"k""OIn"
campus,6,3.42,"k""am.p@s"
brandy,6,3.42,"br""an.4i"
assured,7,3.42,"@.S""Urd"
weed,4,3.41,"w""id"
whereabouts,11,3.41,"hw""Er.@.b%aUts"
ritual,6,3.41,"r""I.tSu@l"
passenger,9,3.41,"p""a.sn=.dZ@`"
opposed,7,3.41,"@.p""ozd"
Nancy,5,3.41,"n""an.si"
integrity,9,3.41,"In.t""E.gr@.4i"
factor,6,3.41,"f""ak.t@`"
ankle,5,3.41,"""aN.kl="
administration,14,3.41,"@d.m%I.n@.str""e.Sn="
absence,7,3.4,"""ab.sn=s"
Vietnam,7,3.4,"v%i.Et.n""Am"
suspended,9,3.4,"s@.sp""En4.@d"
smoked,6,3.4,"sm""okt"
passport,8,3.4,"p""as.p%Ort"
fur,3,3.4,"f""3`"
drowning,8,3.4,"dr""aUn.IN"
depending,9,3.4,"dI.p""En4.IN"
artists,7,3.4,"""Ar4.Ists"
sandy,5,3.39,"s""an4.i"
praise,6,3.39,"pr""ez"
marine,6,3.39,"m@`.r""in"
inappropriate,13,3.39,"%In.@.pr""o.pri@t"
aisle,5,3.39,"""aIl"
weigh,5,3.37,"w""e"
spilled,7,3.37,"sp""Ild"
sailor,6,3.37,"s""el.@`"
naive,5,3.37,"naI.""iv"
models,6,3.37,"m""A.4l=z"
messenger,9,3.37,"m""E.sn=.dZ@`"
jaw,3,3.37,"dZ""O"
elsewhere,9,3.37,"""Els.hwEr"
creeps,6,3.37,"kr""ips"
communications,14,3.37,"k@.mj%u.n@.k""e.Sn=z"
adopted,7,3.37,"@.d""Apt.@d"
uniforms,8,3.36,"j""u.n@.fOrmz"
stove,5,3.36,"st""ov"
skies,5,3.36,"sk""aIz"
pursuit,7,3.36,"p@`.s""ut"
liquid,6,3.36,"l""I.kwId"
Jeff,4,3.36,"dZ""Ef"
gossip,6,3.36,"g""A.s@p"
graduation,10,3.36,"gr%a.dZu.""e.Sn="
crashing,8,3.36,"kr""aS.IN"
correctly,9,3.36,"k@`.r""Ekt.li"
benefits,8,3.36,"b""E.n@.fIts"
accidents,9,3.35,"""ak.s@.dn=ts"
wires,5,3.35,"w""aIrz"
tray,4,3.35,"tr""e"
significant,11,3.35,"sIg.n""I.f@.k@nt"
receipt,7,3.35,"rI.s""it"
psychological,13,3.35,"s%aI.k@.l""A.dZI.kl="
initial,7,3.35,"I.n""I.Sl="
illness,7,3.35,"""Il.n@s"
images,6,3.35,"""I.mIdZ.@z"
heel,4,3.35,"h""il"
greedy,6,3.35,"gr""i4.i"
executed,8,3.35,"""Ek.s@.kj%u4.@d"
drowned,7,3.35,"dr""aUnd"
cries,5,3.35,"kr""aIz"
corporal,8,3.35,"k""Or.p@`.r@l"
backyard,8,3.35,"b%ak.j""Ard"
wishing,7,3.34,"w""IS.IN"
unnecessary,11,3.34,"Vn.n""E.s@.s%E.ri"
tan,3,3.34,"t""an"
scenes,6,3.34,"s""inz"
robin,5,3.34,"r""A.b@n"
raid,4,3.34,"r""ed"
obligation,10,3.34,"%A.bl@.g""e.Sn="
medium,6,3.34,"m""i.4i@m"
locks,5,3.34,"l""Aks"
elected,7,3.34,"I.l""Ekt.@d"
consent,7,3.34,"k@n.s""Ent"
cheek,5,3.34,"tS""ik"
Atlantic,8,3.34,"@t.l""an.4Ik"
zip,3,3.33,"z""Ip"
tide,4,3.33,"t""aId"
necklace,8,3.33,"n""Ek.l@s"
Linda,5,3.33,"l""In.4@"
intact,6,3.33,"In.t""akt"
gracious,8,3.33,"gr""eS.@s"
establish,9,3.33,"I.st""a.blIS"
execution,9,3.33,"%Ek.s@.kj""u.Sn="
dynamite,8,3.33,"d""aI.n@.maIt"
eagle,5,3.33,"""i.gl="
doubts,6,3.33,"d""aUts"
cooler,6,3.33,"k""ul.@`"
compromise,10,3.33,"k""Am.pr@.maIz"
cleaner,7,3.33,"kl""in.@`"
casual,6,3.33,"k""a.Zu@l"
bedtime,7,3.33,"b""Ed.t%aIm"
yelled,6,3.31,"j""Eld"
seed,4,3.31,"s""id"
robe,4,3.31,"r""ob"
positively,10,3.31,"p""A.z@.4Iv.li"
outrageous,10,3.31,"%aUt.r""edZ.@s"
income,6,3.31,"""In.kVm"
European,8,3.31,"j%U.r@p.""i@n"
depressing,10,3.31,"dI.pr""Es.IN"
debate,6,3.31,"dI.b""et"
Daniel,6,3.31,"d""a.nj@l"
chuckles,8,3.31,"tS""V.kl=z"
backing,7,3.31,"b""ak.IN"
wax,3,3.3,"w""aks"
reserve,7,3.3,"rI.z""3`v"
heavily,7,3.3,"h""E.v@.li"
elements,8,3.3,"""E.l@.m@nts"
dragon,6,3.3,"dr""a.g@n"
consciousness,13,3.3,"k""An.S@s.n@s"
candidate,9,3.3,"k""an.4@.det"
bets,4,3.3,"b""Ets"
wooden,6,3.29,"w""Ud.n="
treats,6,3.29,"tr""its"
surprising,10,3.29,"s@`.pr""aIz.IN"
Russia,6,3.29,"r""V.S@"
